Pressure (Pa),Energy Flux (W)
143000000,547.32349629785
193000000,736.18220589732
243000000,86510432618.004
293000000,1107.3006970191
343000000,1385.4837939906
393000000,1470.7763688862
443000000,1650.0057531236
493000000,1827.6283342638
543000000,2003.8665318131
593000000,2178.7324977304
643000000,2352.3642728168
